Year,GEO,Age.group,Sex,Income.source,VALUE
1994,NB,35-44 yrs,Females,"Wages, salaries and commissions",23300
1995,NB,35-44 yrs,Females,"Wages, salaries and commissions",22500
1996,NB,35-44 yrs,Females,"Wages, salaries and commissions",22700
1997,NB,35-44 yrs,Females,"Wages, salaries and commissions",26500
1998,NB,35-44 yrs,Females,"Wages, salaries and commissions",30700
1999,NB,35-44 yrs,Females,"Wages, salaries and commissions",27900
2000,NB,35-44 yrs,Females,"Wages, salaries and commissions",25100
2001,NB,35-44 yrs,Females,"Wages, salaries and commissions",28300
2002,NB,35-44 yrs,Females,"Wages, salaries and commissions",26000
2003,NB,35-44 yrs,Females,"Wages, salaries and commissions",23900
2004,NB,35-44 yrs,Females,"Wages, salaries and commissions",23700
2005,NB,35-44 yrs,Females,"Wages, salaries and commissions",29500
2006,NB,35-44 yrs,Females,"Wages, salaries and commissions",30400
2007,NB,35-44 yrs,Females,"Wages, salaries and commissions",31500
2008,NB,35-44 yrs,Females,"Wages, salaries and commissions",30900
2009,NB,35-44 yrs,Females,"Wages, salaries and commissions",27600
2010,NB,35-44 yrs,Females,"Wages, salaries and commissions",30100
2011,NB,35-44 yrs,Females,"Wages, salaries and commissions",36400
2012,NB,35-44 yrs,Females,"Wages, salaries and commissions",37900
2013,NB,35-44 yrs,Females,"Wages, salaries and commissions",35700
2014,NB,35-44 yrs,Females,"Wages, salaries and commissions",32100
2015,NB,35-44 yrs,Females,"Wages, salaries and commissions",29400
2016,NB,35-44 yrs,Females,"Wages, salaries and commissions",41200
2017,NB,35-44 yrs,Females,"Wages, salaries and commissions",37900
2018,NB,35-44 yrs,Females,"Wages, salaries and commissions",42300
1976,NB,35-44 yrs,Females,Self-employment income,
1977,NB,35-44 yrs,Females,Self-employment income,
1978,NB,35-44 yrs,Females,Self-employment income,
1979,NB,35-44 yrs,Females,Self-employment income,
1980,NB,35-44 yrs,Females,Self-employment income,
1981,NB,35-44 yrs,Females,Self-employment income,
1982,NB,35-44 yrs,Females,Self-employment income,
1983,NB,35-44 yrs,Females,Self-employment income,
1984,NB,35-44 yrs,Females,Self-employment income,4500
1985,NB,35-44 yrs,Females,Self-employment income,4300
1986,NB,35-44 yrs,Females,Self-employment income,
1987,NB,35-44 yrs,Females,Self-employment income,
1988,NB,35-44 yrs,Females,Self-employment income,6300
1989,NB,35-44 yrs,Females,Self-employment income,5300
1990,NB,35-44 yrs,Females,Self-employment income,6800
1991,NB,35-44 yrs,Females,Self-employment income,6400
1992,NB,35-44 yrs,Females,Self-employment income,3200
1993,NB,35-44 yrs,Females,Self-employment income,
1994,NB,35-44 yrs,Females,Self-employment income,
1995,NB,35-44 yrs,Females,Self-employment income,
1996,NB,35-44 yrs,Females,Self-employment income,
1997,NB,35-44 yrs,Females,Self-employment income,6500
1998,NB,35-44 yrs,Females,Self-employment income,
1999,NB,35-44 yrs,Females,Self-employment income,
2000,NB,35-44 yrs,Females,Self-employment income,
2001,NB,35-44 yrs,Females,Self-employment income,
2002,NB,35-44 yrs,Females,Self-employment income,
2003,NB,35-44 yrs,Females,Self-employment income,6000
2004,NB,35-44 yrs,Females,Self-employment income,4900
2005,NB,35-44 yrs,Females,Self-employment income,
2006,NB,35-44 yrs,Females,Self-employment income,
2007,NB,35-44 yrs,Females,Self-employment income,6900
2008,NB,35-44 yrs,Females,Self-employment income,
2009,NB,35-44 yrs,Females,Self-employment income,
2010,NB,35-44 yrs,Females,Self-employment income,
2011,NB,35-44 yrs,Females,Self-employment income,
2012,NB,35-44 yrs,Females,Self-employment income,
2013,NB,35-44 yrs,Females,Self-employment income,
2014,NB,35-44 yrs,Females,Self-employment income,
2015,NB,35-44 yrs,Females,Self-employment income,
2016,NB,35-44 yrs,Females,Self-employment income,
2017,NB,35-44 yrs,Females,Self-employment income,
2018,NB,35-44 yrs,Females,Self-employment income,
1976,NB,35-44 yrs,Females,Government transfers,5800
1977,NB,35-44 yrs,Females,Government transfers,4500
1978,NB,35-44 yrs,Females,Government transfers,5700
1979,NB,35-44 yrs,Females,Government transfers,3300
1980,NB,35-44 yrs,Females,Government transfers,2500
1981,NB,35-44 yrs,Females,Government transfers,2600
1982,NB,35-44 yrs,Females,Government transfers,3000
1983,NB,35-44 yrs,Females,Government transfers,3100
1984,NB,35-44 yrs,Females,Government transfers,2400
1985,NB,35-44 yrs,Females,Government transfers,3000
1986,NB,35-44 yrs,Females,Government transfers,2900
1987,NB,35-44 yrs,Females,Government transfers,2700
1988,NB,35-44 yrs,Females,Government transfers,2900
1989,NB,35-44 yrs,Females,Government transfers,3000
1990,NB,35-44 yrs,Females,Government transfers,3300
1991,NB,35-44 yrs,Females,Government transfers,2700
1992,NB,35-44 yrs,Females,Government transfers,3300
1993,NB,35-44 yrs,Females,Government transfers,3800
1994,NB,35-44 yrs,Females,Government transfers,3500
1995,NB,35-44 yrs,Females,Government transfers,3100
1996,NB,35-44 yrs,Females,Government transfers,3400
1997,NB,35-44 yrs,Females,Government transfers,3300
1998,NB,35-44 yrs,Females,Government transfers,2500
1999,NB,35-44 yrs,Females,Government transfers,3300
2000,NB,35-44 yrs,Females,Government transfers,3400
2001,NB,35-44 yrs,Females,Government transfers,3100
2002,NB,35-44 yrs,Females,Government transfers,3000
2003,NB,35-44 yrs,Females,Government transfers,3300
2004,NB,35-44 yrs,Females,Government transfers,3000
2005,NB,35-44 yrs,Females,Government transfers,3400
2006,NB,35-44 yrs,Females,Government transfers,3400
2007,NB,35-44 yrs,Females,Government transfers,4600
2008,NB,35-44 yrs,Females,Government transfers,3700
2009,NB,35-44 yrs,Females,Government transfers,3700
2010,NB,35-44 yrs,Females,Government transfers,4700
2011,NB,35-44 yrs,Females,Government transfers,3000
2012,NB,35-44 yrs,Females,Government transfers,2700
2013,NB,35-44 yrs,Females,Government transfers,3300
2014,NB,35-44 yrs,Females,Government transfers,2800
2015,NB,35-44 yrs,Females,Government transfers,3500
2016,NB,35-44 yrs,Females,Government transfers,5100
2017,NB,35-44 yrs,Females,Government transfers,7000
2018,NB,35-44 yrs,Females,Government transfers,5400
1976,NB,45-54 yrs,Both sexes,Total income,35400
1977,NB,45-54 yrs,Both sexes,Total income,35400
1978,NB,45-54 yrs,Both sexes,Total income,38800
1979,NB,45-54 yrs,Both sexes,Total income,35800
1980,NB,45-54 yrs,Both sexes,Total income,37900
1981,NB,45-54 yrs,Both sexes,Total income,34800
1982,NB,45-54 yrs,Both sexes,Total income,35000
1983,NB,45-54 yrs,Both sexes,Total income,33100
1984,NB,45-54 yrs,Both sexes,Total income,33400
1985,NB,45-54 yrs,Both sexes,Total income,34700
1986,NB,45-54 yrs,Both sexes,Total income,36700
1987,NB,45-54 yrs,Both sexes,Total income,35400
1988,NB,45-54 yrs,Both sexes,Total income,34500
1989,NB,45-54 yrs,Both sexes,Total income,37000
1990,NB,45-54 yrs,Both sexes,Total income,35000
1991,NB,45-54 yrs,Both sexes,Total income,33900
1992,NB,45-54 yrs,Both sexes,Total income,35700
1993,NB,45-54 yrs,Both sexes,Total income,35400
1994,NB,45-54 yrs,Both sexes,Total income,35800
1995,NB,45-54 yrs,Both sexes,Total income,35800
1996,NB,45-54 yrs,Both sexes,Total income,33200
1997,NB,45-54 yrs,Both sexes,Total income,34400
1998,NB,45-54 yrs,Both sexes,Total income,30900
1999,NB,45-54 yrs,Both sexes,Total income,35500
2000,NB,45-54 yrs,Both sexes,Total income,34000
2001,NB,45-54 yrs,Both sexes,Total income,33700
2002,NB,45-54 yrs,Both sexes,Total income,35600
2003,NB,45-54 yrs,Both sexes,Total income,35100
2004,NB,45-54 yrs,Both sexes,Total income,35700
2005,NB,45-54 yrs,Both sexes,Total income,35800
2006,NB,45-54 yrs,Both sexes,Total income,35700
2007,NB,45-54 yrs,Both sexes,Total income,36900
2008,NB,45-54 yrs,Both sexes,Total income,38600
2009,NB,45-54 yrs,Both sexes,Total income,37000
2010,NB,45-54 yrs,Both sexes,Total income,40100
2011,NB,45-54 yrs,Both sexes,Total income,37700
2012,NB,45-54 yrs,Both sexes,Total income,38000
2013,NB,45-54 yrs,Both sexes,Total income,39100
2014,NB,45-54 yrs,Both sexes,Total income,40700
2015,NB,45-54 yrs,Both sexes,Total income,46700
2016,NB,45-54 yrs,Both sexes,Total income,44400
2017,NB,45-54 yrs,Both sexes,Total income,42800
2018,NB,45-54 yrs,Both sexes,Total income,46800
1976,NB,45-54 yrs,Both sexes,Market income,33500
1977,NB,45-54 yrs,Both sexes,Market income,35700
1978,NB,45-54 yrs,Both sexes,Market income,33900
1979,NB,45-54 yrs,Both sexes,Market income,36700
1980,NB,45-54 yrs,Both sexes,Market income,36800
1981,NB,45-54 yrs,Both sexes,Market income,35300
1982,NB,45-54 yrs,Both sexes,Market income,36400
1983,NB,45-54 yrs,Both sexes,Market income,32100
1984,NB,45-54 yrs,Both sexes,Market income,33200
1985,NB,45-54 yrs,Both sexes,Market income,34800
1986,NB,45-54 yrs,Both sexes,Market income,36600
1987,NB,45-54 yrs,Both sexes,Market income,35800
1988,NB,45-54 yrs,Both sexes,Market income,32600
1989,NB,45-54 yrs,Both sexes,Market income,36400
1990,NB,45-54 yrs,Both sexes,Market income,35800
1991,NB,45-54 yrs,Both sexes,Market income,34400
1992,NB,45-54 yrs,Both sexes,Market income,35300
1993,NB,45-54 yrs,Both sexes,Market income,35800
1994,NB,45-54 yrs,Both sexes,Market income,36300
1995,NB,45-54 yrs,Both sexes,Market income,35900
1996,NB,45-54 yrs,Both sexes,Market income,34600
1997,NB,45-54 yrs,Both sexes,Market income,35600
1998,NB,45-54 yrs,Both sexes,Market income,32900
1999,NB,45-54 yrs,Both sexes,Market income,37700
2000,NB,45-54 yrs,Both sexes,Market income,34700
2001,NB,45-54 yrs,Both sexes,Market income,36000
2002,NB,45-54 yrs,Both sexes,Market income,36700
2003,NB,45-54 yrs,Both sexes,Market income,34300
2004,NB,45-54 yrs,Both sexes,Market income,35900
2005,NB,45-54 yrs,Both sexes,Market income,35200
2006,NB,45-54 yrs,Both sexes,Market income,36100
2007,NB,45-54 yrs,Both sexes,Market income,37200
2008,NB,45-54 yrs,Both sexes,Market income,42300
2009,NB,45-54 yrs,Both sexes,Market income,38600
2010,NB,45-54 yrs,Both sexes,Market income,43100
2011,NB,45-54 yrs,Both sexes,Market income,39200
2012,NB,45-54 yrs,Both sexes,Market income,37800
2013,NB,45-54 yrs,Both sexes,Market income,38800
2014,NB,45-54 yrs,Both sexes,Market income,42700
2015,NB,45-54 yrs,Both sexes,Market income,47500
2016,NB,45-54 yrs,Both sexes,Market income,46500
2017,NB,45-54 yrs,Both sexes,Market income,42200
2018,NB,45-54 yrs,Both sexes,Market income,47600
1976,NB,45-54 yrs,Both sexes,Employment income,32200
1977,NB,45-54 yrs,Both sexes,Employment income,35700
1978,NB,45-54 yrs,Both sexes,Employment income,35100
1979,NB,45-54 yrs,Both sexes,Employment income,36700
1980,NB,45-54 yrs,Both sexes,Employment income,39400
1981,NB,45-54 yrs,Both sexes,Employment income,34700
1982,NB,45-54 yrs,Both sexes,Employment income,36400
1983,NB,45-54 yrs,Both sexes,Employment income,33300
1984,NB,45-54 yrs,Both sexes,Employment income,33500
1985,NB,45-54 yrs,Both sexes,Employment income,35000
1986,NB,45-54 yrs,Both sexes,Employment income,36700
1987,NB,45-54 yrs,Both sexes,Employment income,36100
1988,NB,45-54 yrs,Both sexes,Employment income,32800
1989,NB,45-54 yrs,Both sexes,Employment income,35700
1990,NB,45-54 yrs,Both sexes,Employment income,37200
1991,NB,45-54 yrs,Both sexes,Employment income,33800
1992,NB,45-54 yrs,Both sexes,Employment income,35900
1993,NB,45-54 yrs,Both sexes,Employment income,35400
1994,NB,45-54 yrs,Both sexes,Employment income,35800
1995,NB,45-54 yrs,Both sexes,Employment income,36800
1996,NB,45-54 yrs,Both sexes,Employment income,35000
1997,NB,45-54 yrs,Both sexes,Employment income,36000
1998,NB,45-54 yrs,Both sexes,Employment income,32900
1999,NB,45-54 yrs,Both sexes,Employment income,37900
2000,NB,45-54 yrs,Both sexes,Employment income,36100
2001,NB,45-54 yrs,Both sexes,Employment income,36700
2002,NB,45-54 yrs,Both sexes,Employment income,37700
2003,NB,45-54 yrs,Both sexes,Employment income,35900
2004,NB,45-54 yrs,Both sexes,Employment income,36800
2005,NB,45-54 yrs,Both sexes,Employment income,34900
2006,NB,45-54 yrs,Both sexes,Employment income,36000
2007,NB,45-54 yrs,Both sexes,Employment income,38000
2008,NB,45-54 yrs,Both sexes,Employment income,42300
2009,NB,45-54 yrs,Both sexes,Employment income,40800
2010,NB,45-54 yrs,Both sexes,Employment income,43100
2011,NB,45-54 yrs,Both sexes,Employment income,40300
2012,NB,45-54 yrs,Both sexes,Employment income,37800
2013,NB,45-54 yrs,Both sexes,Employment income,39100
2014,NB,45-54 yrs,Both sexes,Employment income,43100
2015,NB,45-54 yrs,Both sexes,Employment income,45600
2016,NB,45-54 yrs,Both sexes,Employment income,44800
2017,NB,45-54 yrs,Both sexes,Employment income,41600
2018,NB,45-54 yrs,Both sexes,Employment income,46700
1976,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",34300
1977,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36400
1978,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",35500
1979,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36900
1980,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",41700
1981,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",35000
1982,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37800
1983,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36700
1984,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",35200
1985,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36500
1986,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",38400
1987,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36000
1988,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",33800
1989,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36000
1990,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37300
1991,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",34400
1992,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36600
1993,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37200
1994,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36800
1995,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37400
1996,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36700
1997,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36600
1998,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",34500
1999,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",39000
2000,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37200
2001,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",38100
2002,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",38900
2003,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37800
2004,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37300
2005,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",36100
2006,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",37000
2007,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",39000
2008,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",42800
2009,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",43800
2010,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",44300
2011,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",41600
2012,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",39300
2013,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",40200
2014,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",43100
2015,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",46700
2016,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",46300
2017,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",42500
2018,NB,45-54 yrs,Both sexes,"Wages, salaries and commissions",47800
1976,NB,45-54 yrs,Both sexes,Self-employment income,
1977,NB,45-54 yrs,Both sexes,Self-employment income,7100
1978,NB,45-54 yrs,Both sexes,Self-employment income,
1979,NB,45-54 yrs,Both sexes,Self-employment income,10000
1980,NB,45-54 yrs,Both sexes,Self-employment income,
1981,NB,45-54 yrs,Both sexes,Self-employment income,10600
1982,NB,45-54 yrs,Both sexes,Self-employment income,10900
1983,NB,45-54 yrs,Both sexes,Self-employment income,
1984,NB,45-54 yrs,Both sexes,Self-employment income,15600
1985,NB,45-54 yrs,Both sexes,Self-employment income,13900
1986,NB,45-54 yrs,Both sexes,Self-employment income,5600
1987,NB,45-54 yrs,Both sexes,Self-employment income,21100
1988,NB,45-54 yrs,Both sexes,Self-employment income,15700
1989,NB,45-54 yrs,Both sexes,Self-employment income,13900
1990,NB,45-54 yrs,Both sexes,Self-employment income,17000
1991,NB,45-54 yrs,Both sexes,Self-employment income,9600
1992,NB,45-54 yrs,Both sexes,Self-employment income,11800
1993,NB,45-54 yrs,Both sexes,Self-employment income,
1994,NB,45-54 yrs,Both sexes,Self-employment income,
1995,NB,45-54 yrs,Both sexes,Self-employment income,10700
1996,NB,45-54 yrs,Both sexes,Self-employment income,10100
1997,NB,45-54 yrs,Both sexes,Self-employment income,14100
1998,NB,45-54 yrs,Both sexes,Self-employment income,17500
1999,NB,45-54 yrs,Both sexes,Self-employment income,10800
2000,NB,45-54 yrs,Both sexes,Self-employment income,
2001,NB,45-54 yrs,Both sexes,Self-employment income,10900
2002,NB,45-54 yrs,Both sexes,Self-employment income,9800
2003,NB,45-54 yrs,Both sexes,Self-employment income,7200
2004,NB,45-54 yrs,Both sexes,Self-employment income,8200
2005,NB,45-54 yrs,Both sexes,Self-employment income,8400
2006,NB,45-54 yrs,Both sexes,Self-employment income,6800
2007,NB,45-54 yrs,Both sexes,Self-employment income,
2008,NB,45-54 yrs,Both sexes,Self-employment income,9400
2009,NB,45-54 yrs,Both sexes,Self-employment income,
2010,NB,45-54 yrs,Both sexes,Self-employment income,
2011,NB,45-54 yrs,Both sexes,Self-employment income,8700
